,Title,Developer(s),Publisher(s),Release date,Release date,Release date,Ref.
,Title,Developer(s),Publisher(s),Japan,North America,PAL region,Ref.
57,"Arcus Spirits•Arcus OdysseyNA, EU",Wolf Team,Sammy Studios,"October 22, 1993",Cancelled,Cancelled,
58,Ardy Lightfoot,ASCII Entertainment,ASCII Entertainment (JP)Titus Software (NA/EU),"November 26, 1993","February 1, 1994","October 31, 1994",
59,Aretha the Super Famicom,Japan Art Media,Yanoman,"November 23, 1993",Unreleased,Unreleased,
60,Aretha II: Ariel no Fushigi na Tabi,Japan Art Media,Yanoman,"December 2, 1994",Unreleased,Unreleased,
61,Arkanoid: Doh It Again,Taito,Taito (JP)Nintendo (NA/EU),"January 15, 1997","November 3, 1997",1997,
62,Art of Fighting•Ryuuko no KenJP,Monolith Corporation,Takara,"October 29, 1993","December 1, 1993",1993,
63,Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu,Varie,Varie,"September 22, 1995",Unreleased,Unreleased,
64,Asameshimae Nyanko,J-Force,Zamuse,"March 18, 1994",Unreleased,Unreleased,
65,Ashita no Joe,Wave Corp,K Amusement Leasing,"November 27, 1992",Unreleased,Unreleased,
66,Asterix,Infogrames,Infogrames,Unreleased,Cancelled,"May 30, 1993",
67,Asterix & Obelix,Infogrames,Infogrames,Unreleased,Unreleased,"May 1, 1996",
68,The Atlas,Artdink,Pack-In-Video,"March 24, 1995",Unreleased,Unreleased,
69,Axelay †,Konami,Konami,"September 11, 1992","September 14, 1992","September 30, 1993",
70,B.O.B.•Space Funky B.O.B.JP,Gray Matter,Electronic Arts,"December 22, 1993","June 1, 1993","July 22, 1993",
71,Bahamut Lagoon,Square,Square,"February 9, 1996",Unreleased,Unreleased,
72,Bakukyuu Renpatsu!! Super B-Daman,Amble,Hudson Soft,"December 19, 1997",Unreleased,Unreleased,
73,Bakumatsu Kourinden Oni,Pandora Box,Banpresto,"February 2, 1996",Unreleased,Unreleased,
74,Bakuto Dochers,Genki,Bullet-Proof Software,"October 28, 1994",Unreleased,Unreleased,
75,Ball Bullet Gun: Survival Game Simulation,Betop,I'MAX,"December 1, 1995",Unreleased,Unreleased,
76,Ballz 3D•3 Jigen Kakuto: BallzJP,PF Magic,Accolade,"April 28, 1995","April 1, 1994",Unreleased,
77,Barbarossa,SystemSoft Alpha,Sammy Corporation,"November 27, 1992",Unreleased,Unreleased,
78,Barbie: Super Model,Software Creations,Hi Tech Expressions,Unreleased,December 1993,Unreleased,
79,Barkley Shut Up and Jam!•Barkley's Power DunkJP,Accolade,Accolade,"September 30, 1994","June 7, 1994",December 1994,
80,Bass Masters Classic,Malibu Games,Malibu Games,"July 28, 1995","June 6, 1995",Unreleased,
81,Bass Masters Classic: Pro Edition,Black Pearl Software,Black Pearl Software,Unreleased,"July 23, 1996","November 1, 1996",
82,Bassin's Black Bass with Hank Parker•Super Black Bass 2JP,Starfish,Hot-B,"September 23, 1994","November 1, 1994",Unreleased,
83,Bastard!!: Ankoku no Hakai-shin,Kazushi Hagiwara / Shueisha,Cobra Team,"January 28, 1994",Unreleased,Unreleased,
84,Batman Forever,Probe Entertainment,Acclaim Entertainment,"October 27, 1995","October 26, 1995","September 7, 1995",
85,Batman Returns,Konami,Konami,"February 26, 1993","May 31, 1993","May 1, 1993",
86,Battle Blaze,Aicom,American Sammy,"May 1, 1992","October 19, 1993",Unreleased,
87,Battle Cars,Malibu Interactive,Namco,Unreleased,December 1993,Unreleased,
88,Battle Clash•Space BazookaJP,Intelligent Systems,Nintendo,"June 21, 1993","October 1, 1992",1992,
89,Battle Commander: Hachibushuu Shura no Heihou,Arc System Works,Banpresto,"December 29, 1991",Unreleased,Unreleased,
90,Battle Cross,A-Max,Imagineer,"December 9, 1994",Unreleased,Unreleased,
91,Battle Dodge Ball,Banpresto,Banpresto,"July 20, 1991",Cancelled,Unreleased,
92,Battle Dodge Ball II,Nova Games,Banpresto,"July 23, 1993",Unreleased,Unreleased,
93,Battle Grand Prix,KID,Hudson Soft,"March 27, 1992","April 20, 1993",Unreleased,
94,Battle Jockey,Nova Games,Virgin Interactive,"December 22, 1994",Unreleased,Unreleased,
95,Battle Master: Kyuukyoku no Senshitachi,System Vision,Toshiba,"November 19, 1993",Unreleased,Unreleased,
96,Battle Pinball,Banpresto,Banpresto,"February 25, 1995",Unreleased,Unreleased,
97,Battle Racers,Banpresto,Banpresto,"March 17, 1995",Unreleased,Unreleased,
98,Battle Robot Retsuden,Winkysoft,Banpresto,"September 1, 1995",Unreleased,Unreleased,
99,Battle Soccer: Field no Hasha,Pandora Box,Banpresto,"December 11, 1992",Unreleased,Unreleased,
100,Battle Soccer 2,Pandora Box,Banpresto,"November 25, 1994",Unreleased,Unreleased,
101,Battle Submarine,Office Koukan,Pack-In-Video,"December 22, 1995",Unreleased,Unreleased,
102,Battletoads & Double Dragon,Rare,Tradewest,Unreleased,"December 1, 1993","July 10, 1994",
103,Battletoads in Battlemaniacs,Rare,Tradewest,"January 7, 1994","June 29, 1993","October 1, 1993",
104,Battle Tycoon: Flash Hiders SFX,Right Stuff,Right Stuff,"May 19, 1995",Unreleased,Unreleased,
105,Battle Zeque Den,Arsys Software,Asmik Ace Entertainment,"July 15, 1994",Unreleased,Unreleased,
106,Bazooka Blitzkrieg•DestructiveJP,Tose,Bandai,"August 27, 1993","December 31, 1992",Unreleased,
107,Beavis and Butt-head,Realtime Associates,Viacom New Media,Unreleased,"November 1, 1994",1995,
108,Bébé's Kids,Radical Entertainment,Motown Software,Unreleased,"April 19, 1994",Unreleased,
109,Beethoven: The Ultimate Canine Caper•Beethoven's 2ndEU,Riedel Software Productions,Hi Tech Expressions,Unreleased,"December 17, 1993",1993,
110,Benkei Gaiden: Suna no Shou,Sunsoft,Sunsoft,"December 18, 1992",Unreleased,Unreleased,
111,Best of the Best: Championship Karate•Super Kick BoxingJP,Loriciel,Electro Brain,"March 5, 1993","November 24, 1993",1993,
112,Big Sky Trooper,LucasArts,JVC Musical Industries,Unreleased,"October 10, 1995",1995,
113,Best Shot Pro Golf,KID,ASCII,"June 14, 1996",Unreleased,Unreleased,
114,Big Ichigeki! Pachi-Slot Daikouryaku,Syscom,Ask Koudansha,"December 16, 1994",Unreleased,Unreleased,
115,Big Ichigeki! Pachi-Slot Daikouryaku 2,Syscom,Ask Koudansha,"July 21, 1995",Unreleased,Unreleased,
116,Bike Daisuki! Hashiriya Kon: Rider's Spirits,Genki,Masaya,"September 30, 1994",Unreleased,Unreleased,
117,Biker Mice from Mars,Konami,Konami,Unreleased,"December 1, 1994","January 1, 1995",
118,Bill Laimbeer's Combat Basketball,Hewson Consultants,Hudson Soft,Unreleased,"December 1, 1991",Unreleased,
119,Bill Walsh College Football,Visual Concepts,EA Sports,Unreleased,February 1994,Unreleased,
120,Bing Bing! Bingo,Copya Systems,KSS,"December 22, 1993",Unreleased,Unreleased,
121,BioMetal,Athena,Activision,"March 19, 1993",November 1993,1993,
122,Bishoujo Janshi Suchie-Pai,DCE,Jaleco,"July 30, 1993",Unreleased,Unreleased,
123,Bishoujo Senshi Sailor Moon: Another Story,Arc System Works/TNS,Angel,"September 22, 1995",Unreleased,Unreleased,
124,Bishoujo Senshi Sailor Moon: Sailor Stars Fuwa Fuwa Panic 2,Bandai,Bandai,"September 27, 1996",Unreleased,Unreleased,
125,Bishoujo Senshi Sailor Moon R,Arc System Works,Bandai,"December 29, 1993",Unreleased,Unreleased,
126,Bishoujo Senshi Sailormoon S: Jougai Rantou!? Shuyaku Soudatsusen,Arc System Works,Angel,"December 16, 1994",Unreleased,Unreleased,
127,Bishoujo Senshi Sailor Moon S: Kondo ha Puzzle de Oshiokiyo!,Tom Create,Bandai,"July 15, 1994",Unreleased,Unreleased,
128,Bishoujo Senshi Sailor Moon S: Kurukkurin,Tom Create,Bandai,"February 24, 1995",Unreleased,Unreleased,
129,Bishoujo Senshi Sailor Moon SuperS: Fuwa Fuwa Panic,Tom Create,Bandai,"December 8, 1995",Unreleased,Unreleased,
130,Bishoujo Senshi Sailor Moon SuperS – Zenin Sanka!! Shuyaku Soudatsusen,Angel,Angel,"March 29, 1996",Unreleased,Unreleased,
131,Bishoujo Wrestlinger's History: Beauty Girl Wrestling,Nihon Soft System,KSS,"March 29, 1996",Unreleased,Unreleased,
132,Blackthorne•BlackhawkEU,Blizzard Entertainment,Interplay Entertainment,"August 11, 1995",September 1994,"February 23, 1995",
133,BlaZeon: The Bio-Cyborg Challenge,AI,Atlus,"July 24, 1992","October 27, 1992",Unreleased,
134,Block Kuzushi,OeRSTED,Planning Office Wada,"November 17, 1995",Unreleased,Unreleased,
135,The Blue Crystal Rod,Game Studio,Namco,"March 25, 1994",Unreleased,Unreleased,
136,Blue Legend Shoot!,Affect,KSS,"December 16, 1994",Unreleased,Unreleased,
137,The Blues Brothers,Titus Software,Titus Software,"March 26, 1993","June 1, 1993",1993,
138,Bomberman B-Daman [ja],A.I.,Hudson Soft,"December 20, 1996",Unreleased,Unreleased,
139,Boogerman: A Pick and Flick Adventure,Interplay Entertainment,Interplay Entertainment,Unreleased,"September 15, 1995","January 25, 1996",
140,Bounty Sword,ITL,Pioneer LDC,"September 8, 1995",Unreleased,Unreleased,
141,Boxing Legends of the Ring•Chavez IIMX•Final KnockoutJP,Sculptured Software,Electro Brain,"November 5, 1993","November 1, 1993",1993,
142,Brain Lord,Produce,Enix,"January 29, 1994","October 1, 1994",Unreleased,
143,The Brainies,Titus Software,Titus Software,Unreleased,"April 2, 1996",1996,
144,Bram Stoker's Dracula,Psygnosis / Traveller's Tales,Sony Imagesoft,Unreleased,September 1993,1993,
145,Brandish,Koei,Koei,"June 25, 1994","February 28, 1995",Unreleased,
146,Brandish 2: The Planet Buster,Koei,Koei,"August 11, 1995",Unreleased,Unreleased,
147,Brandish 2 Expert,Koei,Koei,"March 15, 1996",Unreleased,Unreleased,
148,Brawl Brothers †•Brawl Brothers: Rival Turf! 2EU•Rushing Beat Ran: Fukusei ToshiJP,Jaleco,Jaleco,"December 22, 1992","April 13, 1993",1993,
149,BreakThru!,Artech Digital Entertainment,Spectrum HoloByte,Unreleased,"June 1, 1994",Unreleased,
150,Breath of Fire,Capcom,Capcom (JP)Square (NA),"April 3, 1993","August 10, 1994",Unreleased,
151,Breath of Fire II,Capcom,Capcom (JP/NA)Laguna GmbH (EU),"December 2, 1994","December 10, 1995","April 25, 1996",
152,Brett Hull Hockey,Radical Entertainment,Accolade,Unreleased,"January 11, 1994",1994,
153,Brett Hull Hockey '95,Radical Entertainment,Accolade,Unreleased,January 1995,Unreleased,
154,Bronkie the Bronchiasaurus,WaveQuest,Raya Systems,Unreleased,"September 26, 1995",Unreleased,
155,Brunswick World: Tournament of Champions,Tiertex Design Studios,THQ,Unreleased,"August 12, 1997",Unreleased,
156,Brutal: Paws of Fury•Brutal: Animal BurandenJP,Eurocom,GameTek,"December 22, 1994","December 6, 1994",1994,
157,Bubsy in Claws Encounters of the Furred Kind•Yamaneko Bubsy no DaiboukenJP,Accolade,Accolade,"June 17, 1993","May 1, 1993","October 28, 1993",
158,Bubsy II,Accolade,Accolade,Unreleased,October 1994,1994,
159,Bugs Bunny Rabbit Rampage•Bakkusu Banī Hachamecha DaibōkenJP,Viacom New Media,Sunsoft,"June 24, 1994","February 15, 1994","September 29, 1994",
160,Bulls vs. Blazers and the NBA Playoffs•NBA Pro Basketball: Bulls vs BlazersJP,Electronic Arts,EA Sports,"February 26, 1992","December 1, 1992",1992,
161,Burai: Hachigyoku no Yuushi Densetsu,Pandora Box,IGS,"January 14, 1993",Unreleased,Unreleased,
162,Bushi Seiryuuden: Futari no Yuusha,Game Freak,T&E Soft,"January 17, 1997",Unreleased,Unreleased,
163,Bust-a-Move•Puzzle Bobble: Bust-a-MoveEU•Puzzle BobbleJP,Taito,Taito,"January 13, 1995","March 1, 1995",1995,
164,Cacoma Knight in Bizyland•Cacoma KnightJP,SETA,SETA,"November 21, 1992","June 1, 1993",Unreleased,
165,Cal Ripken Jr. Baseball,Mindscape,Mindscape,Unreleased,"December 1, 1992",1993,
166,California Games 2,Silicon Sorcery,DTMC,"March 12, 1993","January 1, 1993",1993,
167,Cannon Fodder,Sensible Software,Virgin Interactive,Unreleased,Unreleased,"January 1, 1994",
168,Capcom's MVP Football,Equilibrium,Capcom,Unreleased,"October 1, 1993",Unreleased,
169,Capcom's Soccer Shootout •Soccer ShootoutEU•J. League Excite Stage '94JP,A-Max,Epoch Co. (JP)Capcom (NA/EU),"May 1, 1994",June 1994,1994,
170,Captain America and The Avengers,Mindscape,Mindscape,Unreleased,"September 1, 1993",1993,
171,Captain Commando,Capcom,Capcom,"March 17, 1995","August 1, 1995",1995,
172,Captain Novolin,Sculptured Software,Raya Systems,Unreleased,"November 2, 1992",Unreleased,
173,Captain Tsubasa III: Koutei no Chousen,Tecmo,Tecmo,"July 17, 1992",Unreleased,Unreleased,
174,Captain Tsubasa IV: Pro no Rival Tachi,Tecmo,Tecmo,"April 3, 1993",Unreleased,Unreleased,
175,Captain Tsubasa V: Hasha no Shōgō Campione,Tecmo,Tecmo,"December 9, 1994",Unreleased,Unreleased,
176,Captain Tsubasa J: The Way to World Youth,BEC,Bandai,"November 17, 1995",Unreleased,Unreleased,
177,Caravan Shooting Collection,Hudson Soft,Hudson Soft,"July 7, 1995",Unreleased,Unreleased,
178,Carrier Aces,Synergistic Software,Cybersoft,"July 28, 1995","January 1, 1995",1995,
179,Casper,Imagineering,Natsume,Unreleased,"December 1, 1996",1997,
180,Casper (Japanese game),Natsume,KSS,"March 14, 1997",Unreleased,Unreleased,
181,Castlevania: Dracula X•Castlevania: Vampire's KissEU•Akumajou Dracula XXJP,Konami,Konami,"July 21, 1995","September 1, 1995","February 22, 1996",
182,CB Chara Wars: Ushinawareta Gag,Almanic,Banpresto,"August 28, 1992",Unreleased,Unreleased,
183,Champions World Class Soccer,Park Place Productions,Acclaim Entertainment,"March 25, 1994",April 1994,1994,
184,Championship Pool•Super BilliardJP,Bitmasters,Mindscape,"June 24, 1994","November 3, 1993",1993,
185,The Chaos Engine•Soldiers of FortuneNA,Bitmap Brothers,Spectrum HoloByte,Unreleased,December 1993,July 1994,
186,Chaos Seed,Neverland,Taito,"March 15, 1996",Unreleased,Unreleased,
187,The Chessmaster,The Software Toolworks,Mindscape,"February 17, 1995","September 1, 1991",1992,
188,Chester Cheetah: Too Cool to Fool,Kaneko,Kaneko,Unreleased,"December 2, 1992",Unreleased,
189,Chester Cheetah: Wild Wild Quest,Kaneko,Kaneko,Unreleased,"March 1, 1994",Unreleased,
190,Chibi Maruko-chan: Harikiri 365-Nichi no Maki,SAS Sakata,"Epoch Co., Ltd.","December 13, 1991",Unreleased,Unreleased,
191,Chibi Maruko-chan: Mezase! Minami no Island!!,Konami,Konami,"December 1, 1995",Unreleased,Unreleased,
192,Chinhai,Pixel,Banpresto,"September 22, 1995",Unreleased,Unreleased,
193,Chō Aniki: Bakuretsu Rantouden,Bits Laboratory,NCS,"September 22, 1995",Unreleased,Unreleased,
194,Chō Genjin 2,A.I. Company Ltd.,Hudson Soft,"July 28, 1995",Unreleased,Unreleased,
195,Chō Mahou Tairiku WOZZ,Red Company,Bullet-Proof Software,"August 4, 1995",Unreleased,Unreleased,
196,Choplifter III,Beam Software,Extreme Entertainment Group,"September 9, 1994","January 1, 1994",1994,
197,Chrono Trigger,Square,Square,"March 11, 1995","August 11, 1995",Unreleased,
198,Chuck Rock,Core Design,Sony Imagesoft,Unreleased,"November 1, 1992",1992,
199,Civilization,Microprose,Koei,"October 7, 1994","June 30, 1995",Unreleased,
200,Classic Road,Opera House,Victor Interactive Software,"October 29, 1993",Unreleased,Unreleased,
201,Classic Road II,Opera House,Victor Interactive Software,"February 24, 1995",Unreleased,Unreleased,
202,ClayFighter,Visual Concepts,Interplay Entertainment,Unreleased,"November 30, 1993","May 26, 1994",
203,ClayFighter: Tournament Edition,Visual Concepts,Interplay Entertainment,Unreleased,"May 14, 1994",Unreleased,
204,ClayFighter 2: Judgment Clay,Interplay Entertainment,Interplay Entertainment,Unreleased,"January 1, 1995","May 23, 1995",
205,Claymates,Visual Concepts,Interplay Entertainment,Unreleased,March 1994,"November 20, 1993",
206,Cliffhanger,Malibu Interactive,Sony Imagesoft,Unreleased,"October 25, 1993",1993,
207,Clock Tower,Human Entertainment,Human Entertainment,"September 14, 1995",Unreleased,Unreleased,
208,ClockWorks,Axes Art Amuse,Tokuma Shoten,"December 8, 1995",Unreleased,Unreleased,
209,Clue,Sculptured Software,Parker Brothers,Unreleased,"July 1, 1992",Unreleased,
210,College Football USA '97: The Road to New Orleans,Black Pearl Software,EA Sports,Unreleased,"December 1, 1996",Unreleased,
211,College Slam,Iguana Entertainment,Acclaim Entertainment,Unreleased,"January 31, 1996",Unreleased,
212,Columns,Marigul Management,Media Factory,"August 1, 1999",Unreleased,Unreleased,
213,The Combatribes,Technōs Japan,Technōs Japan (JP)American Technōs (NA),"December 23, 1992","March 1, 1993",Unreleased,
214,Computer Nouryoku Kaiseki: Ultra Baken,Culture Brain,Culture Brain,"May 26, 1995",Unreleased,Unreleased,
215,Congo's Caper †•Tatakae Genshijin 2: Rookie no BoukenJP,Data East,Data East,"December 18, 1992","May 1, 1993",1993,
216,Contra III: The Alien Wars †•Super Probotector: Alien RebelsEU•Contra SpiritsJP,Konami,Konami,"February 28, 1992","April 6, 1992","November 19, 1992",
217,Conveni Wars Barcode Battler Senki: Super Senshi Shutsugeki Seyo!,SAS Sakata,Epoch Co.,"May 14, 1993",Unreleased,Unreleased,
218,Cool Spot,Virgin Interactive,Virgin Interactive,"December 10, 1993","September 1, 1993","February 24, 1994",
219,Cool World,Ocean Software,Ocean Software,Unreleased,"February 1, 1993",1992,
220,Coron Land,Aroma,Yumedia,"August 25, 1995",Unreleased,Unreleased,
221,Cosmo Gang the Puzzle,Namco,Namco,"February 26, 1993",Unreleased,Unreleased,
222,Cosmo Gang the Video,Namco,Namco,"October 29, 1992",Unreleased,Unreleased,
223,Cosmo Police Galivan II: Arrow of Justice,Cream,Nichibutsu,"June 11, 1993",Unreleased,Unreleased,
224,Crayon Shin-chan: Arashi wo yobu Enji,Sun L,Bandai,"July 30, 1993",Unreleased,Unreleased,
225,Crayon Shin-chan 2: Daimaou no Gyakushuu,Sun L,Bandai,"May 27, 1994",Unreleased,Unreleased,
226,Crayon Shin-chan: Osagusu Dobon,AIM,Bandai,"September 27, 1996",Unreleased,Unreleased,
227,Crystal Beans From Dungeon Explorer,Birthday,Hudson Soft,"October 27, 1995",Unreleased,Unreleased,
228,Cu-On-Pa,T&E Soft,T&E Soft,"December 20, 1996",Unreleased,Unreleased,
229,Cutthroat Island,Software Creations (UK),Acclaim Entertainment,Unreleased,"March 1, 1996",1996,
230,Cyber Knight,Advance Communication Company,Tonkin House,"October 30, 1992",Unreleased,Unreleased,
231,Cyber Knight II: Chikyuu Teikoku no Yabou,Group SNE,Tonkin House,"August 26, 1994",Unreleased,Unreleased,
232,Cyber Spin•Shinseiki GPX: Cyber FormulaJP,Takara,Takara,"March 19, 1992","November 1, 1992",Unreleased,
233,Cybernator•Juusou Kihen ValkenJP,Masaya,Masaya (JP)Konami (NA)Palcom Software (EU),"December 18, 1992","April 4, 1993",1993,
234,Cyborg 009,BEC,Bandai,"February 25, 1994",Unreleased,Unreleased,
235,Daffy Duck: The Marvin Missions,ICOM Simulations,Sunsoft,Unreleased,"October 1, 1993","April 28, 1994",
236,Daibakushou Jinsei Gekijou,Taito,Taito,"December 25, 1992",Unreleased,Unreleased,
237,Daibakushou Jinsei Gekijou: Dokidoki Seishun,Taito,Taito,"July 30, 1993",Unreleased,Unreleased,
238,Daibakushou Jinsei Gekijou: Ooedo Nikki,Taito,Taito,"November 25, 1994",Unreleased,Unreleased,
239,Daibakushou Jinsei Gekijou: Zukkoke Salary Man Hen,Taito,Taito,"December 29, 1995",Unreleased,Unreleased,
240,Daikaijuu Monogatari,Birthday,Hudson Soft,"December 22, 1994",Unreleased,Unreleased,
241,Daikaijuu Monogatari 2,AIM,Hudson Soft,"August 2, 1996",Unreleased,Unreleased,
242,Daisenryaku Expert,SystemSoft Alpha,ASCII,"September 25, 1992",Unreleased,Unreleased,
243,Daisenryaku Expert WWII: War in Europe,SystemSoft Alpha,ASCII,"August 30, 1996",Unreleased,Unreleased,
244,Darius Twin,Taito,Taito,"March 29, 1991","November 30, 1991","April 22, 1993",
245,Dark Half [ja],West One,Enix,"May 31, 1996",Unreleased,Unreleased,
246,Dark Kingdom,Telenet Japan,Telenet Japan,"April 29, 1994",Unreleased,Unreleased,
247,Dark Law: Meaning of Death,SAS Sakata,ASCII,"March 28, 1997",Unreleased,Unreleased,
248,Date Kimiko no Virtual Tennis,Jorudan,Yanoman,"May 13, 1994",Unreleased,Unreleased,
249,David Crane's Amazing Tennis,David Crane,Absolute Entertainment,"December 18, 1992","November 5, 1992",1992,
250,Daze Before Christmas,Funcom,Sunsoft,Unreleased,Cancelled,"November 1, 1994",
251,Deae Tonosama Appare Ichiban,Sunsoft,Sunsoft,"March 31, 1995",Unreleased,Unreleased,
252,Dear Boys,Kan's,Yutaka,"October 28, 1994",Unreleased,Unreleased,
253,The Death and Return of Superman,Blizzard Entertainment,Sunsoft,Unreleased,"August 1, 1994",November 1994,
254,Death Brade,I'Max,I'Max,"July 16, 1993",Unreleased,Unreleased,
